,x,y,sdi_cat,Country Code,pred,ineff,year
477,3.1780538303479458,-4.93652644399343,low,NER,-4.076754133733924,0.8543578376634067,2012
478,3.2188758248682006,-5.003947097891454,low,CAF,-4.0554217747940555,0.9422926084530638,2012
479,3.258096538021482,-4.362476010622217,low,ETH,-4.034926600575497,0.32570952001455095,2012
480,3.367295829986474,-4.9727968997666,low,MLI,-3.9778653105912714,0.9911704114552614,2012
481,3.4011973816621555,-4.490138970598893,low,BDI,-3.9601508708333246,0.526562224232609,2012
482,3.4339872044851463,-4.894638674348389,low,BFA,-3.943017595309086,0.9461604264548644,2012
483,3.4339872044851463,-4.683356439208226,low,BEN,-3.943017595309086,0.7378768002786037,2012
484,3.4339872044851463,-4.724707903511657,medium,SSD,-3.943017595309086,0.7759242434654281,2012
485,3.4657359027997265,-4.58922574630493,low,MOZ,-3.9264285676799346,0.6587286853611124,2012
486,3.4965075614664802,-4.822260211631978,low,GIN,-3.910350280829106,0.9077842968273333,2012
487,3.6109179126442243,-4.430960728961067,medium,MWI,-3.850572490133748,0.577846592551617,2012
488,3.6109179126442243,-4.937128177290235,low,TCD,-3.850572490133748,1.0806392623458376,2012
489,3.6375861597263857,-4.454876714226613,medium,TGO,-3.836639156735621,0.6145364002669236,2012
490,3.6635616461296463,-4.560957177640472,low,GNB,-3.8230679330978043,0.7331444561346957,2012
491,3.713572066704308,-4.415197534071519,medium,LBR,-3.796939808319845,0.6149800470938609,2012
492,3.8918202981106265,-4.358421103496344,medium,UGA,-3.7038182934647175,0.6521672579083243,2012
493,3.9318256327243257,-4.554935804438607,medium,CMR,-3.6829195280026874,0.866490945810584,2012
494,4.007333185232471,-4.270641856754053,medium,ZMB,-3.643475492088017,0.6234096234878225,2012
495,4.007333185232471,-4.0981240609103144,high,MRT,-3.643475492088017,0.4522613482973424,2012
496,4.02535169073515,-4.190175833507402,medium,RWA,-3.634063096861754,0.5526687999222404,2012
497,4.07753744390572,-4.111876820061257,medium,SDN,-3.6068030788517396,0.5023227247732185,2012
498,4.07753744390572,-4.944608505148458,low,SLE,-3.6068030788517396,1.3327897286651174,2012
499,4.1588830833596715,-4.178662977554319,medium,SEN,-3.5643122989403815,0.6125877673810155,2012
500,4.23410650459726,-4.902685659189656,high,NGA,-3.5250209181444254,1.3740145139228892,2012
501,4.406719247264253,-4.1571621502784275,medium,DJI,-3.4348656344796185,0.714812331170159,2012
502,4.465908118654584,-3.9857692178689987,high,KEN,-3.403953143575736,0.578206261281556,2012
503,4.465908118654584,-4.450156562265161,medium,AGO,-3.403953143575736,1.0415142160970587,2012
504,4.48863636973214,-4.248145252238642,high,GHA,-3.392083128010764,0.8526459640821427,2012
505,4.624972813284271,-4.239778216077264,medium,COM,-3.3208830775925606,0.9112333801229419,2012
506,4.955827057601261,-4.42921322809643,high,LSO,-3.1481601148093024,1.272061399871113,2012
507,5.117993812416755,-4.172248646207829,medium,ZWE,-3.0639531128154287,1.1036085599957501,2012
508,5.187385805840755,-3.304623887545566,high,MAR,-3.0281852860448524,0.2731857962491966,2012
509,5.438079308923196,-3.247788981832479,high,DZA,-2.901111198618082,0.3455950727597778,2012
510,5.5134287461649825,-2.82411430839551,high,TUN,-2.8637804784898666,0.0,2012
511,5.627621113690637,-3.8042365050030367,high,GAB,-2.8081686452946424,0.9871324378243049,2012
512,5.765191102784844,-4.126585024496795,high,GNQ,-2.742953722486674,1.367878052742823,2012
513,5.840641657373398,-2.7273787291029725,high,MUS,-2.708125122566307,0.019209736590743168,2012
514,6.035481432524756,-3.887391894946481,high,BWA,-2.6217176772050497,1.2527686889842236,2012
515,6.234410725718371,-3.8132449113542126,high,NAM,-2.539531754535419,1.2640823156339107,2012
516,6.3578422665081,-3.882735441198246,high,ZAF,-2.4920401180757508,1.3818631634706713,2012
517,6.440946540632921,-2.6080802413671504,high,SYC,-2.4617238795443845,0.14557589121638756,2012
518,1.6094379124341003,-4.744475798173508,low,SOM,-4.724141391318959,0.020163564715574307,2013
519,2.833213344056216,-4.138548415805171,medium,ERI,-4.143429290116323,0.0,2013
520,3.044522437723423,-4.275651409928431,medium,MDG,-4.043204160113889,0.23073653270692998,2013
521,3.1354942159291497,-4.991268346277987,low,CAF,-4.000057588946614,0.984606957362429,2013
522,3.295836866004329,-4.908804748165252,low,NER,-3.9240111707650445,0.978107440063923,2013
523,3.367295829986474,-4.960009285795745,low,MLI,-3.890120564664642,1.0656305676898716,2013
524,3.4011973816621555,-4.441108643745443,low,BDI,-3.8740423052463018,0.5633300557796517,2013
525,3.4011973816621555,-4.658248846161239,low,BEN,-3.8740423052463018,0.7814194451701006,2013
526,3.4011973816621555,-4.305811364881162,low,ETH,-3.8740423052463018,0.42932290153004987,2013
527,3.4965075614664802,-4.703380157330031,medium,SSD,-3.8288405983261384,0.8679914913132496,2013
528,3.4965075614664802,-4.792798296421547,low,GIN,-3.8288405983261384,0.9594005289234371,2013
529,3.5553480614894135,-4.545193085734313,low,MOZ,-3.8009352655006197,0.7393861958610187,2013
530,3.5553480614894135,-4.875135954905942,low,BFA,-3.8009352655006197,1.067697563832388,2013
531,3.6635616461296463,-4.373246073123747,medium,LBR,-3.7496151645473166,0.6201932322064057,2013
532,3.6635616461296463,-4.382463326809989,medium,MWI,-3.7496151645473166,0.6298693957843143,2013
533,3.713572066704308,-4.908097501914515,low,TCD,-3.7258980786341045,1.175327548795359,2013
534,3.784189633918261,-4.416616389067072,medium,TGO,-3.6924084903769168,0.719627968871975,2013
535,3.828641396489095,-4.31828620830727,medium,UGA,-3.671327916398247,0.6443637669793195,2013
536,3.970291913552122,-4.520564360610488,medium,CMR,-3.604153218817164,0.9100238220170994,2013
537,3.970291913552122,-4.05342929946361,medium,RWA,-3.604153218817164,0.4463170691747539,2013
538,4.007333185232471,-4.89201186540855,low,SLE,-3.586587426389312,1.3000408630269265,2013
539,4.07753744390572,-4.516091466244547,medium,GNB,-3.553295274432786,0.9564171736027967,2013
540,4.07753744390572,-4.061738309215807,high,MRT,-3.553295274432786,0.505670606767361,2013
